2020/03/12 02:13:26 [error] 6#6: *1 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.28.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.28.0.4:9000", host: "localhost"
2020/03/13 02:17:35 [error] 6#6: *1 FastCGI sent in stderr: "PHP message: PHP Parse error:  syntax error, unexpected 'x' (T_STRING), expecting function (T_FUNCTION) or const (T_CONST) in /web/app/Http/Kernel.php on line 63" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.4:9000", host: "localhost"
2020/03/13 03:31:54 [warn] 6#6: *56 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.21.0.1, server: localhost, request: "GET /api/user HTTP/1.1", upstream: "fastcgi://172.21.0.4:9000", host: "localhost"
2020/03/13 03:45:48 [warn] 6#6: *2 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /api/users/1 HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost"
2020/03/13 03:45:59 [warn] 6#6: *5 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /api/users/1 HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost"
2020/03/13 03:54:38 [warn] 6#6: *9 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /api/users/1 HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost"
2020/03/13 03:54:48 [warn] 6#6: *11 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /api/users/1 HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost"
2020/03/13 10:53:45 [warn] 6#6: *26 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /api/users/2 HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost"
2020/03/13 12:01:46 [warn] 6#6: *29 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.22.0.1, server: localhost, request: "GET /api/users/2 HTTP/1.1", upstream: "fastcgi://172.22.0.4:9000", host: "localhost"
2020/03/16 03:56:14 [error] 6#6: *1 FastCGI sent in stderr: "PHP message: PHP Warning:  require_once(/web/bootstrap/../vendor/autoload.php): failed to open stream: No such file or directory in /web/bootstrap/app.php on line 3PHP message: PHP Fatal error:  require_once(): Failed opening required '/web/bootstrap/../vendor/autoload.php' (include_path='.:/usr/local/lib/php') in /web/bootstrap/app.php on line 3" while reading response header from upstream, client: 172.21.0.1, server: localhost, request: "GET / HTTP/1.1", upstream: "fastcgi://172.21.0.5:9000", host: "localhost"
2020/03/17 03:51:44 [warn] 6#6: *98 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotel HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 08:48:50 [warn] 6#6: *137 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=ENG&from=1&to=3 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
2020/03/17 08:49:24 [warn] 6#6: *137 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.22.0.1, server: localhost, request: "POST /engine/hotelList?fields=all&language=ENG&from=1&to=3 HTTP/1.1", upstream: "fastcgi://172.22.0.5:9000", host: "localhost"
